ID,オペレーター,ピック率(Pro),勝率(Pro),勝率(Own),キルレ(Own)
1,LION,0.928,0.485,1,1
2,HIBANA,0.82,0.457,1.4,1.65
3,YING,0.505,0.554,1,1
4,THERMITE,0.387,0.512,1.57,1.41
5,BUCK,0.333,0.432,1.1,1.24
6,GLAZ,0.306,0.5,0.76,1.27
7,BLITS,0.27,0.4,1.26,0.98
8,THATCHER,0.261,0.517,1.44,1.52
9,ZOFIA,0.207,0.636,1,1
10,ASH,0.198,0.409,1.28,1.77
11,DOKKAEBI,0.144,0.313,1,1
12,IQ,0.135,0.667,1.18,1.52
13,TWITCH,0.13,0.4,1.82,1.73
14,CAPITAO,0.125,0.4,1.56,1.73
15,FUZE,0.12,0.4,1.37,1.72
16,MONTAGNE,0.115,0.4,1.32,0.52
17,SLEDGE,0.11,0.4,1.15,1.5
18,BLACHBEARD,0.105,0.4,1.36,2.03
19,FINK,0.1,0.4,1,1
20,JACKAL,0.1,0.4,1.26,1.22
21,RECURUIT,0.3,0.4,1,1
